2023-01-22 18:15:25.520537: finish training task33, epoch:4
2023-01-22 18:24:37.827222: finish training task33, epoch:5
2023-01-22 18:33:29.603799: finish training task33, epoch:6
2023-01-22 18:42:03.403379: finish training task33, epoch:7
2023-01-22 18:50:44.724284: finish training task33, epoch:8
2023-01-22 19:00:06.437712: finish training task33, epoch:9
2023-01-22 19:08:51.744694: finish training task33, epoch:10
2023-01-22 19:17:45.488738: finish training task33, epoch:11
2023-01-22 19:26:52.232309: finish training task33, epoch:12
2023-01-22 19:35:27.296450: finish training task33, epoch:13
2023-01-22 19:44:21.274668: finish training task33, epoch:14
2023-01-22 19:53:22.201592: finish training task33, epoch:15
2023-01-22 20:02:08.138447: finish training task33, epoch:16
2023-01-22 20:11:18.104871: finish training task33, epoch:17
2023-01-22 20:24:45.852077: finish training task34, epoch:1
2023-01-22 20:27:48.501524: finish training task34, epoch:2
2023-01-22 20:30:34.466090: finish training task34, epoch:3
2023-01-22 20:33:25.645511: finish training task34, epoch:4
2023-01-22 20:36:15.690998: finish training task34, epoch:5
2023-01-22 20:39:00.999382: finish training task34, epoch:6
2023-01-22 20:41:48.618789: finish training task34, epoch:7
2023-01-22 20:44:38.068411: finish training task34, epoch:8
2023-01-22 20:47:22.944654: finish training task34, epoch:9
2023-01-22 20:52:56.110509: finish training task35, epoch:1
2023-01-22 20:55:21.349997: finish training task35, epoch:2
2023-01-22 20:57:49.870140: finish training task35, epoch:3
2023-01-22 21:00:15.762842: finish training task35, epoch:4
2023-01-22 21:02:39.468025: finish training task35, epoch:5
2023-01-22 21:05:09.950149: finish training task35, epoch:6
2023-01-22 21:07:34.068019: finish training task35, epoch:7
2023-01-22 21:09:58.306906: finish training task35, epoch:8
2023-01-22 21:12:25.915855: finish training task35, epoch:9
2023-01-22 21:15:26.454909: finish training task35, epoch:10
2023-01-22 21:18:04.767184: finish training task35, epoch:11
2023-01-22 21:20:42.753102: finish training task35, epoch:12
2023-01-22 21:23:37.636011: finish training task35, epoch:13
2023-01-22 21:26:05.161593: finish training task35, epoch:14
2023-01-22 21:28:35.799041: finish training task35, epoch:15
2023-01-22 21:31:02.009063: finish training task35, epoch:16
2023-01-22 21:33:35.775329: finish training task35, epoch:17
2023-01-22 21:36:04.507560: finish training task35, epoch:18
2023-01-22 21:43:03.802330: finish training task36, epoch:1
2023-01-22 21:47:34.382631: finish training task36, epoch:2
2023-01-22 21:51:29.630006: finish training task36, epoch:3
2023-01-22 21:55:27.462664: finish training task36, epoch:4
2023-01-22 21:59:22.676760: finish training task36, epoch:5
2023-01-22 22:04:07.209149: finish training task36, epoch:6
2023-01-22 22:08:36.689929: finish training task36, epoch:7
2023-01-22 22:12:36.317126: finish training task36, epoch:8
2023-01-22 22:18:10.363301: finish training task37, epoch:1
2023-01-22 22:19:34.519695: finish training task37, epoch:2
2023-01-22 22:20:53.346798: finish training task37, epoch:3
2023-01-22 22:22:12.928972: finish training task37, epoch:4
2023-01-22 22:23:34.465655: finish training task37, epoch:5
2023-01-22 22:24:51.657567: finish training task37, epoch:6
2023-01-22 22:26:11.520164: finish training task37, epoch:7
2023-01-22 22:27:32.098174: finish training task37, epoch:8
2023-01-22 22:28:50.552077: finish training task37, epoch:9
2023-01-22 22:30:09.273282: finish training task37, epoch:10
2023-01-22 22:31:29.856397: finish training task37, epoch:11
2023-01-22 22:32:56.458763: finish training task37, epoch:12
2023-01-22 22:34:21.201465: finish training task37, epoch:13
2023-01-22 22:35:44.184610: finish training task37, epoch:14
2023-01-22 22:37:07.449513: finish training task37, epoch:15
2023-01-22 22:38:28.768681: finish training task37, epoch:16
2023-01-22 22:39:55.340005: finish training task37, epoch:17
2023-01-22 22:41:18.300004: finish training task37, epoch:18
